,___,_,299,0,83,96,61,12,0,7,1,0,0,0,20,0,14,0,4,1
,___,_,147,0,38,54,25,6,0,2,0,0,0,0,12,0,7,0,3,0
,___,_,152,0,45,42,36,6,0,5,1,0,0,0,8,0,7,0,1,1
,___,_,"1,473",33,661,194,247,15,0,28,8,8,0,0,220,0,37,0,0,22
,___,_,617,12,266,83,108,6,0,7,5,2,0,0,99,0,20,0,0,9
,___,_,856,21,395,111,139,9,0,21,3,6,0,0,121,0,17,0,0,13
,___,_,"2,224",6,"1,263",286,199,27,0,20,133,10,0,0,193,0,35,0,0,52
,___,_,882,2,474,120,89,9,0,5,57,2,0,0,85,0,18,0,0,21
,___,_,"1,342",4,789,166,110,18,0,15,76,8,0,0,108,0,17,0,0,31
,___,_,772,0,89,106,141,8,0,376,5,0,0,0,28,0,14,0,0,5
,___,_,327,0,25,36,63,3,0,177,4,0,0,0,11,0,6,0,0,2
,___,_,445,0,64,70,78,5,0,199,1,0,0,0,17,0,8,0,0,3
,___,_,598,3,165,155,133,12,0,23,1,3,0,0,80,0,15,0,1,7
,___,_,321,2,85,84,67,9,0,13,0,0,0,0,48,0,7,0,1,5
,___,_,277,1,80,71,66,3,0,10,1,3,0,0,32,0,8,0,0,2
,___,_,494,2,133,135,118,10,0,20,0,1,0,0,56,0,11,0,1,7
,___,_,255,1,63,72,56,7,0,11,0,0,0,0,34,0,5,0,1,5
,___,_,239,1,70,63,62,3,0,9,0,1,0,0,22,0,6,0,0,2
,___,_,104,1,32,20,15,2,0,3,1,2,0,0,24,0,4,0,0,0
,___,_,66,1,22,12,11,2,0,2,0,0,0,0,14,0,2,0,0,0
,___,_,38,0,10,8,4,0,0,1,1,2,0,0,10,0,2,0,0,0
,______,____,,,,,,,,,,,,,,,,,,
,______,,,,,,,,,,,,,,,,,,,
